metric,value,step
td3_train_ep_return,-89.79995727539062,408.0
td3_train_ep_return,-25.09622573852539,579.0
td3_train_ep_return,-102.62803649902344,699.0
td3_train_ep_return,-121.79959106445312,943.0
td3_train_ep_return,-86.49510192871094,1336.0
td3_train_ep_return,-71.93170166015625,1746.0
td3_train_ep_return,-113.14878845214844,2011.0
td3_train_ep_return,-90.54686737060547,2335.0
td3_train_ep_return,-111.08012390136719,2589.0
td3_train_ep_return,-111.49822235107422,2871.0
td3_train_ep_return,-103.43052673339844,3010.0
td3_train_ep_return,-107.13325500488281,3198.0
td3_train_ep_return,-103.56208038330078,3341.0
td3_train_ep_return,-106.57474517822266,3547.0
td3_train_ep_return,-103.07628631591797,3686.0
td3_train_ep_return,-108.19428253173828,3905.0
td3_train_ep_return,-105.31468200683594,4078.0
td3_train_ep_return,-103.91524505615234,4223.0
td3_train_ep_return,-59.83694076538086,4605.0
td3_train_ep_return,-107.56219482421875,4825.0
td3_train_ep_return,-102.01494598388672,4940.0
td3_train_ep_return,-48.97395706176758,5001.0
td3_train_ep_return,-103.10379791259766,5131.0
td3_train_ep_return,-102.72415924072266,5252.0
td3_train_ep_return,-117.90077209472656,5575.0
td3_train_ep_return,-103.30159759521484,5709.0
td3_train_ep_return,-103.94793701171875,5853.0
td3_train_ep_return,-104.21920013427734,5994.0
td3_train_ep_return,-104.74639129638672,6141.0
td3_train_ep_return,-103.44761657714844,6278.0
td3_train_ep_return,-106.86607360839844,6462.0
td3_train_ep_return,-104.95259857177734,6617.0
td3_train_ep_return,-105.57134246826172,6798.0
td3_train_ep_return,-101.63190460205078,6909.0
td3_train_ep_return,-101.56138610839844,7016.0
td3_train_ep_return,-102.64653778076172,7153.0
td3_train_ep_return,-26.77281379699707,7646.0
td3_train_ep_return,-35.041812896728516,8100.0
td3_train_ep_return,-111.02996826171875,8395.0
td3_train_ep_return,-37.65517044067383,8771.0
td3_train_ep_return,-101.45329284667969,8878.0
td3_train_ep_return,-45.29182052612305,9272.0
td3_train_ep_return,-101.57439422607422,9379.0
td3_train_ep_return,-102.01962280273438,9489.0
td3_train_ep_return,-103.50223541259766,9629.0
td3_train_ep_return,-101.85668182373047,9741.0
td3_train_ep_return,-15.813206672668457,10001.0
td3_train_ep_return,-69.91612243652344,10467.0
td3_train_ep_return,-65.95538330078125,10897.0
td3_train_ep_return,-46.285186767578125,11213.0
td3_train_ep_return,-102.93962097167969,11329.0
td3_train_ep_return,-101.66067504882812,11437.0
td3_train_ep_return,-26.875465393066406,11851.0
td3_train_ep_return,-30.30251693725586,12379.0
td3_train_ep_return,-102.05158233642578,12495.0
td3_train_ep_return,-14.341801643371582,12742.0
td3_train_ep_return,-50.3159294128418,12939.0
td3_train_ep_return,-35.873435974121094,13496.0
td3_train_ep_return,-103.61858367919922,13634.0
td3_train_ep_return,-23.965679168701172,13909.0
td3_train_ep_return,-22.154808044433594,14289.0
td3_train_ep_return,-25.734113693237305,14608.0
td3_train_ep_return,-18.53772735595703,14910.0
td3_train_ep_return,-6.545899868011475,15001.0
td3_train_ep_return,-13.446035385131836,15223.0
td3_train_ep_return,-107.25613403320312,15417.0
td3_train_ep_return,-107.57717895507812,15623.0
td3_train_ep_return,-78.85596466064453,15990.0
td3_train_ep_return,-17.808841705322266,16298.0
td3_train_ep_return,-46.360042572021484,16660.0
td3_train_ep_return,-105.36582946777344,16835.0
td3_train_ep_return,-102.06742858886719,16953.0
td3_train_ep_return,-24.099035263061523,17346.0
td3_train_ep_return,-115.53067016601562,17711.0
td3_train_ep_return,-25.35651969909668,18143.0
