metric,value,step
td3_train_ep_return,-89.79995727539062,408.0
td3_train_ep_return,-25.09622573852539,579.0
td3_train_ep_return,-102.62803649902344,699.0
td3_train_ep_return,-121.79959106445312,943.0
td3_train_ep_return,-87.35757446289062,1336.0
td3_train_ep_return,-43.46569061279297,1746.0
td3_train_ep_return,-135.08045959472656,2269.0
td3_train_ep_return,-117.72936248779297,2579.0
td3_train_ep_return,-107.96255493164062,2781.0
td3_train_ep_return,-117.5948715209961,3099.0
td3_train_ep_return,-105.05567169189453,3247.0
td3_train_ep_return,-104.32195281982422,3392.0
td3_train_ep_return,-103.67302703857422,3538.0
td3_train_ep_return,-107.9499282836914,3764.0
td3_train_ep_return,-110.20405578613281,4007.0
td3_train_ep_return,-26.02687644958496,4249.0
td3_train_ep_return,-24.430246353149414,4713.0
td3_train_ep_return,-65.6272201538086,5001.0
td3_train_ep_return,-102.85934448242188,5137.0
td3_train_ep_return,-105.84132385253906,5329.0
td3_train_ep_return,-69.2905502319336,5625.0
td3_train_ep_return,-14.468353271484375,5884.0
td3_train_ep_return,-108.26204681396484,6368.0
td3_train_ep_return,-102.78374481201172,6504.0
td3_train_ep_return,-115.49955749511719,6863.0
td3_train_ep_return,-102.3697509765625,6990.0
td3_train_ep_return,-102.33626556396484,7119.0
td3_train_ep_return,-107.52885437011719,7351.0
td3_train_ep_return,-16.859291076660156,7645.0
td3_train_ep_return,-91.98416900634766,8029.0
td3_train_ep_return,-16.951570510864258,8368.0
td3_train_ep_return,-108.00542449951172,8594.0
td3_train_ep_return,-102.13661193847656,8717.0
td3_train_ep_return,-101.89033508300781,8839.0
td3_train_ep_return,-110.4841537475586,9124.0
td3_train_ep_return,-103.90775299072266,9272.0
td3_train_ep_return,-36.87907791137695,9765.0
td3_train_ep_return,-33.632877349853516,10001.0
td3_train_ep_return,-119.650634765625,10451.0
td3_train_ep_return,-118.58605194091797,10875.0
td3_train_ep_return,-21.57211685180664,11198.0
td3_train_ep_return,-102.11402893066406,11316.0
td3_train_ep_return,-106.9873046875,11519.0
td3_train_ep_return,-102.931884765625,11650.0
td3_train_ep_return,-25.319835662841797,12016.0
td3_train_ep_return,-104.70591735839844,12180.0
td3_train_ep_return,-19.202560424804688,12551.0
td3_train_ep_return,-101.96221160888672,12665.0
td3_train_ep_return,-101.99578857421875,12778.0
td3_train_ep_return,-107.34224700927734,12994.0
td3_train_ep_return,-101.77286529541016,13102.0
td3_train_ep_return,-101.46640014648438,13212.0
td3_train_ep_return,-46.09537124633789,13626.0
td3_train_ep_return,-29.081954956054688,14154.0
td3_train_ep_return,-101.97814178466797,14274.0
td3_train_ep_return,-104.49313354492188,14436.0
td3_train_ep_return,-100.42389678955078,14633.0
td3_train_ep_return,-24.987957000732422,15001.0
td3_train_ep_return,-103.34557342529297,15141.0
td3_train_ep_return,-40.89196014404297,15442.0
td3_train_ep_return,-10.661553382873535,15660.0
td3_train_ep_return,-102.3736572265625,15776.0
td3_train_ep_return,-64.8922348022461,16013.0
td3_train_ep_return,-86.98683166503906,16341.0
td3_train_ep_return,-61.66660690307617,16563.0
td3_train_ep_return,-105.21503448486328,16730.0
td3_train_ep_return,-109.21430969238281,16976.0
td3_train_ep_return,-106.7887954711914,17171.0
td3_train_ep_return,-17.21830177307129,17479.0
td3_train_ep_return,-109.900634765625,17841.0
td3_train_ep_return,-106.91226196289062,18046.0
td3_train_ep_return,-101.78684997558594,18158.0
td3_train_ep_return,-98.86891174316406,18551.0
td3_train_ep_return,-114.45938110351562,18885.0
td3_train_ep_return,-120.35686492919922,19317.0
