metric,value,step
td3_train_ep_return,-89.79995727539062,408.0
td3_train_ep_return,-25.09622573852539,579.0
td3_train_ep_return,-102.62803649902344,699.0
td3_train_ep_return,-121.79959106445312,943.0
td3_train_ep_return,-86.49464416503906,1336.0
td3_train_ep_return,-71.92464447021484,1746.0
td3_train_ep_return,-114.15902709960938,2035.0
td3_train_ep_return,-56.7322998046875,2359.0
td3_train_ep_return,-106.78162384033203,2541.0
td3_train_ep_return,-114.44123077392578,2827.0
td3_train_ep_return,-104.50106048583984,2994.0
td3_train_ep_return,-108.46912384033203,3212.0
td3_train_ep_return,-105.2507553100586,3384.0
td3_train_ep_return,-102.16111755371094,3509.0
td3_train_ep_return,-106.68006134033203,3716.0
td3_train_ep_return,-14.37583065032959,3958.0
td3_train_ep_return,-102.41698455810547,4079.0
td3_train_ep_return,-113.41217041015625,4403.0
td3_train_ep_return,-111.37989044189453,4675.0
td3_train_ep_return,-107.5832748413086,4878.0
td3_train_ep_return,-87.19377899169922,5001.0
td3_train_ep_return,-104.58248138427734,5151.0
td3_train_ep_return,-104.47779846191406,5293.0
td3_train_ep_return,-103.0473403930664,5420.0
td3_train_ep_return,-119.60491180419922,5772.0
td3_train_ep_return,-102.91046905517578,5901.0
td3_train_ep_return,-103.03475952148438,6022.0
td3_train_ep_return,-104.27745819091797,6158.0
td3_train_ep_return,-104.47677612304688,6302.0
td3_train_ep_return,-103.26847076416016,6438.0
td3_train_ep_return,-108.74945831298828,6659.0
td3_train_ep_return,-103.56914520263672,6797.0
td3_train_ep_return,-110.27070617675781,7069.0
td3_train_ep_return,-103.32271575927734,7211.0
td3_train_ep_return,-102.06539154052734,7333.0
td3_train_ep_return,-26.754236221313477,7821.0
td3_train_ep_return,-120.81681823730469,8267.0
td3_train_ep_return,-77.75355529785156,8721.0
td3_train_ep_return,-102.6440200805664,8849.0
td3_train_ep_return,-108.69153594970703,9225.0
td3_train_ep_return,-102.43457794189453,9524.0
td3_train_ep_return,-29.985816955566406,9918.0
td3_train_ep_return,-66.03052520751953,10001.0
td3_train_ep_return,-101.485107421875,10107.0
td3_train_ep_return,-21.228900909423828,10473.0
td3_train_ep_return,-109.51878356933594,10699.0
td3_train_ep_return,-22.069467544555664,11070.0
td3_train_ep_return,-59.392333984375,11536.0
td3_train_ep_return,-68.78518676757812,11966.0
td3_train_ep_return,-62.935176849365234,12282.0
td3_train_ep_return,-102.01880645751953,12391.0
td3_train_ep_return,-102.15787506103516,12500.0
td3_train_ep_return,-24.12161636352539,12914.0
td3_train_ep_return,-35.51708221435547,13442.0
td3_train_ep_return,-102.57241821289062,13562.0
td3_train_ep_return,-16.164505004882812,13809.0
td3_train_ep_return,-62.60858917236328,14006.0
td3_train_ep_return,-37.01976013183594,14563.0
td3_train_ep_return,-103.13504028320312,14688.0
td3_train_ep_return,-27.028915405273438,14963.0
td3_train_ep_return,-16.578439712524414,15001.0
td3_train_ep_return,-108.15542602539062,15205.0
td3_train_ep_return,-105.52911376953125,15382.0
td3_train_ep_return,-102.44050598144531,15495.0
td3_train_ep_return,-13.222074508666992,15717.0
td3_train_ep_return,-107.5474624633789,15897.0
td3_train_ep_return,-89.1373062133789,16231.0
td3_train_ep_return,-25.36749839782715,16598.0
td3_train_ep_return,-18.631385803222656,16906.0
td3_train_ep_return,-83.0369644165039,17268.0
td3_train_ep_return,-105.83633422851562,17456.0
td3_train_ep_return,-107.12506103515625,17657.0
td3_train_ep_return,-25.174074172973633,18050.0
td3_train_ep_return,-114.52826690673828,18373.0
td3_train_ep_return,-42.21720504760742,18805.0
