metric,value,step
td3_train_ep_return,-89.79995727539062,408.0
td3_train_ep_return,-25.09622573852539,579.0
td3_train_ep_return,-102.62803649902344,699.0
td3_train_ep_return,-121.79959106445312,943.0
td3_train_ep_return,-87.35717010498047,1336.0
td3_train_ep_return,-43.4642219543457,1746.0
td3_train_ep_return,-135.08139038085938,2269.0
td3_train_ep_return,-117.73165893554688,2579.0
td3_train_ep_return,-107.96467590332031,2781.0
td3_train_ep_return,-118.18087005615234,3104.0
td3_train_ep_return,-104.55088806152344,3247.0
td3_train_ep_return,-104.3262710571289,3392.0
td3_train_ep_return,-103.67528533935547,3538.0
td3_train_ep_return,-107.95308685302734,3764.0
td3_train_ep_return,-109.26033782958984,3992.0
td3_train_ep_return,-15.289706230163574,4234.0
td3_train_ep_return,-25.143016815185547,4698.0
td3_train_ep_return,-104.53644561767578,5001.0
td3_train_ep_return,-102.171875,5125.0
td3_train_ep_return,-106.78782653808594,5339.0
td3_train_ep_return,-108.38923645019531,5575.0
td3_train_ep_return,-69.55288696289062,5834.0
td3_train_ep_return,-112.27020263671875,6146.0
td3_train_ep_return,-103.22948455810547,6294.0
td3_train_ep_return,-35.07681655883789,6717.0
td3_train_ep_return,-101.98699951171875,6836.0
td3_train_ep_return,-106.37295532226562,7045.0
td3_train_ep_return,-105.83575439453125,7227.0
td3_train_ep_return,-80.65924835205078,7521.0
td3_train_ep_return,-107.27348327636719,7731.0
td3_train_ep_return,-112.54975128173828,8054.0
td3_train_ep_return,-115.17626953125,8414.0
td3_train_ep_return,-102.99429321289062,8553.0
td3_train_ep_return,-113.78639221191406,8891.0
td3_train_ep_return,-119.04703521728516,9312.0
td3_train_ep_return,-107.44478607177734,9517.0
td3_train_ep_return,-104.03897094726562,10001.0
td3_train_ep_return,-67.9859848022461,10295.0
td3_train_ep_return,-119.58259582519531,10745.0
td3_train_ep_return,-110.52587890625,11012.0
td3_train_ep_return,-102.92724609375,11141.0
td3_train_ep_return,-105.87677001953125,11329.0
td3_train_ep_return,-103.89163208007812,11478.0
td3_train_ep_return,-103.92427062988281,11809.0
td3_train_ep_return,-20.73267936706543,12175.0
td3_train_ep_return,-103.28700256347656,12313.0
td3_train_ep_return,-19.245281219482422,12684.0
td3_train_ep_return,-62.150508880615234,13150.0
td3_train_ep_return,-68.23027038574219,13580.0
td3_train_ep_return,-71.26519012451172,13896.0
td3_train_ep_return,-101.76164245605469,14005.0
td3_train_ep_return,-101.68717193603516,14116.0
td3_train_ep_return,-28.530649185180664,14530.0
td3_train_ep_return,-29.012704849243164,15001.0
td3_train_ep_return,-20.25595474243164,15379.0
td3_train_ep_return,-102.33612823486328,15498.0
td3_train_ep_return,-57.330711364746094,15835.0
td3_train_ep_return,-101.63829040527344,15945.0
td3_train_ep_return,-103.4499282836914,16084.0
td3_train_ep_return,-52.42195129394531,16385.0
td3_train_ep_return,-17.880624771118164,16603.0
td3_train_ep_return,-104.08016204833984,16749.0
td3_train_ep_return,-104.13233947753906,16925.0
td3_train_ep_return,-106.83277130126953,17253.0
td3_train_ep_return,-11.38485050201416,17475.0
td3_train_ep_return,-105.09999084472656,17634.0
td3_train_ep_return,-108.56118774414062,17865.0
td3_train_ep_return,-85.42374420166016,18232.0
td3_train_ep_return,-19.34333610534668,18540.0
td3_train_ep_return,-62.12895202636719,18902.0
td3_train_ep_return,-109.14525604248047,19115.0
td3_train_ep_return,-102.84899139404297,19233.0
td3_train_ep_return,-59.61319351196289,19626.0
td3_train_ep_return,-119.0918960571289,19971.0
td3_train_ep_return,-4.627477169036865,20001.0
