metric,value,step
td3_train_ep_return,-89.79995727539062,408.0
td3_train_ep_return,-25.09622573852539,579.0
td3_train_ep_return,-102.62803649902344,699.0
td3_train_ep_return,-121.79959106445312,943.0
td3_train_ep_return,-125.0715560913086,1219.0
td3_train_ep_return,-125.82781982421875,1629.0
td3_train_ep_return,-128.17868041992188,1992.0
td3_train_ep_return,-63.71759796142578,2316.0
td3_train_ep_return,-20.44769859313965,2599.0
td3_train_ep_return,-105.27822875976562,2765.0
td3_train_ep_return,-114.89177703857422,3130.0
td3_train_ep_return,-111.09308624267578,3397.0
td3_train_ep_return,-102.91207122802734,3534.0
td3_train_ep_return,-103.63548278808594,3687.0
td3_train_ep_return,-104.8834457397461,3856.0
td3_train_ep_return,-106.85651397705078,4047.0
td3_train_ep_return,-104.70947265625,4204.0
td3_train_ep_return,-103.652099609375,4344.0
td3_train_ep_return,-112.00349426269531,4627.0
td3_train_ep_return,-107.43064880371094,4835.0
td3_train_ep_return,-85.5439682006836,5001.0
td3_train_ep_return,-104.3138198852539,5165.0
td3_train_ep_return,-106.90420532226562,5379.0
td3_train_ep_return,-102.62870788574219,5508.0
td3_train_ep_return,-110.33734893798828,5770.0
td3_train_ep_return,-63.74352264404297,6182.0
td3_train_ep_return,-108.90933990478516,6424.0
td3_train_ep_return,-118.32923126220703,6916.0
td3_train_ep_return,-105.98397827148438,7100.0
td3_train_ep_return,-102.9478759765625,7236.0
td3_train_ep_return,-101.59349822998047,7346.0
td3_train_ep_return,-116.08018493652344,7713.0
td3_train_ep_return,-101.43260955810547,7823.0
td3_train_ep_return,-113.13602447509766,8162.0
td3_train_ep_return,-111.05633544921875,8445.0
td3_train_ep_return,-52.293731689453125,8933.0
td3_train_ep_return,-118.4250717163086,9337.0
td3_train_ep_return,-120.01959991455078,9784.0
td3_train_ep_return,-20.349702835083008,10001.0
td3_train_ep_return,-95.44512939453125,10546.0
td3_train_ep_return,-103.27283477783203,10656.0
td3_train_ep_return,-102.13140106201172,10763.0
td3_train_ep_return,-128.51231384277344,11144.0
td3_train_ep_return,-101.69761657714844,11250.0
td3_train_ep_return,-23.74114990234375,11616.0
td3_train_ep_return,-112.65486145019531,11845.0
td3_train_ep_return,-31.53792953491211,12216.0
td3_train_ep_return,-105.28314208984375,12682.0
td3_train_ep_return,-89.04866790771484,13112.0
td3_train_ep_return,-53.73286056518555,13428.0
td3_train_ep_return,-103.65498352050781,13551.0
td3_train_ep_return,-101.98338317871094,13661.0
td3_train_ep_return,-25.76732635498047,14075.0
td3_train_ep_return,-35.5419921875,14603.0
td3_train_ep_return,-103.8895034790039,14730.0
td3_train_ep_return,-19.26112174987793,14977.0
td3_train_ep_return,-3.0987234115600586,15001.0
td3_train_ep_return,-34.322933197021484,15357.0
td3_train_ep_return,-104.94175720214844,15518.0
td3_train_ep_return,-78.50678253173828,15819.0
td3_train_ep_return,-28.062847137451172,16037.0
td3_train_ep_return,-121.63138580322266,16299.0
td3_train_ep_return,-107.11402130126953,16483.0
td3_train_ep_return,-103.01266479492188,16811.0
td3_train_ep_return,-14.206058502197266,17033.0
td3_train_ep_return,-90.29508209228516,17465.0
td3_train_ep_return,-101.2216796875,17799.0
td3_train_ep_return,-23.697479248046875,18166.0
td3_train_ep_return,-20.166139602661133,18474.0
td3_train_ep_return,-21.740787506103516,18836.0
td3_train_ep_return,-105.5873794555664,19031.0
td3_train_ep_return,-108.45983123779297,19306.0
td3_train_ep_return,-33.637245178222656,19699.0
td3_train_ep_return,-36.66597366333008,20001.0
td3_train_ep_return,-103.91437530517578,20144.0
