metric,value,step
td3_train_ep_return,-89.79995727539062,408.0
td3_train_ep_return,-25.09622573852539,579.0
td3_train_ep_return,-102.62803649902344,699.0
td3_train_ep_return,-121.79959106445312,943.0
td3_train_ep_return,-123.82035064697266,1213.0
td3_train_ep_return,-141.08303833007812,1623.0
td3_train_ep_return,-66.08374786376953,2197.0
td3_train_ep_return,-66.11604309082031,2521.0
td3_train_ep_return,-38.125919342041016,2804.0
td3_train_ep_return,-117.40974426269531,3125.0
td3_train_ep_return,-108.02352142333984,3325.0
td3_train_ep_return,-40.70876693725586,3688.0
td3_train_ep_return,-104.32227325439453,3849.0
td3_train_ep_return,-54.47788619995117,4122.0
td3_train_ep_return,-42.72971725463867,4380.0
td3_train_ep_return,-104.08216094970703,4543.0
td3_train_ep_return,-87.92121887207031,5001.0
td3_train_ep_return,-104.80440521240234,5170.0
td3_train_ep_return,-102.35542297363281,5294.0
td3_train_ep_return,-102.85328674316406,5430.0
td3_train_ep_return,-46.23716354370117,5726.0
td3_train_ep_return,-106.06684875488281,5912.0
td3_train_ep_return,-104.08565521240234,6070.0
td3_train_ep_return,-105.44207763671875,6252.0
td3_train_ep_return,-72.14710998535156,6675.0
td3_train_ep_return,-106.37589263916016,6857.0
td3_train_ep_return,-106.91790008544922,7063.0
td3_train_ep_return,-102.56474304199219,7191.0
td3_train_ep_return,-57.38408279418945,7485.0
td3_train_ep_return,-66.2269058227539,7869.0
td3_train_ep_return,-110.43080139160156,8145.0
td3_train_ep_return,-114.23479461669922,8490.0
td3_train_ep_return,-103.35507202148438,8637.0
td3_train_ep_return,-112.43639373779297,8974.0
td3_train_ep_return,-116.18595886230469,9336.0
td3_train_ep_return,-110.8367691040039,9615.0
td3_train_ep_return,-20.67011833190918,10001.0
td3_train_ep_return,-105.59207153320312,10172.0
td3_train_ep_return,-114.53309631347656,10511.0
td3_train_ep_return,-117.48709869384766,10902.0
td3_train_ep_return,-102.94857788085938,11043.0
td3_train_ep_return,-101.62496948242188,11153.0
td3_train_ep_return,-105.53359985351562,11322.0
td3_train_ep_return,-108.11601257324219,11557.0
td3_train_ep_return,-21.115253448486328,11923.0
td3_train_ep_return,-68.30364227294922,12223.0
td3_train_ep_return,-19.23611831665039,12594.0
td3_train_ep_return,-89.99388885498047,13060.0
td3_train_ep_return,-114.55001068115234,13490.0
td3_train_ep_return,-112.44523620605469,13806.0
td3_train_ep_return,-101.95356750488281,13915.0
td3_train_ep_return,-101.88198852539062,14030.0
td3_train_ep_return,-23.294300079345703,14444.0
td3_train_ep_return,-28.765600204467773,14972.0
td3_train_ep_return,-16.813682556152344,15001.0
td3_train_ep_return,-102.71952056884766,15123.0
td3_train_ep_return,-64.9375991821289,15460.0
td3_train_ep_return,-114.12029266357422,15811.0
td3_train_ep_return,-102.93668365478516,15949.0
td3_train_ep_return,-20.427425384521484,16250.0
td3_train_ep_return,-59.54374313354492,16468.0
td3_train_ep_return,-103.76412963867188,16609.0
td3_train_ep_return,-107.4337387084961,16846.0
td3_train_ep_return,-91.20000457763672,17174.0
td3_train_ep_return,-36.296024322509766,17396.0
td3_train_ep_return,-104.03398895263672,17548.0
td3_train_ep_return,-105.89136505126953,17746.0
td3_train_ep_return,-110.22332000732422,18113.0
td3_train_ep_return,-17.581905364990234,18421.0
td3_train_ep_return,-77.49778747558594,18783.0
td3_train_ep_return,-105.68733215332031,18971.0
td3_train_ep_return,-102.32032775878906,19090.0
td3_train_ep_return,-49.660953521728516,19483.0
td3_train_ep_return,-110.97279357910156,19775.0
td3_train_ep_return,-18.32572364807129,20001.0
