metric,value,step
td3_train_ep_return,-89.79995727539062,408.0
td3_train_ep_return,-25.09622573852539,579.0
td3_train_ep_return,-102.62803649902344,699.0
td3_train_ep_return,-121.79959106445312,943.0
td3_train_ep_return,-125.07161712646484,1219.0
td3_train_ep_return,-125.81906127929688,1629.0
td3_train_ep_return,-128.1717987060547,1992.0
td3_train_ep_return,-64.56161499023438,2316.0
td3_train_ep_return,-20.389732360839844,2599.0
td3_train_ep_return,-105.26264953613281,2765.0
td3_train_ep_return,-115.05472564697266,3137.0
td3_train_ep_return,-110.77571868896484,3397.0
td3_train_ep_return,-102.9740982055664,3535.0
td3_train_ep_return,-103.71538543701172,3692.0
td3_train_ep_return,-107.38211822509766,3897.0
td3_train_ep_return,-94.42324829101562,4139.0
td3_train_ep_return,-105.216796875,4301.0
td3_train_ep_return,-103.73373413085938,4441.0
td3_train_ep_return,-111.8282241821289,4725.0
td3_train_ep_return,-109.65235137939453,4978.0
td3_train_ep_return,-1.2285982370376587,5001.0
td3_train_ep_return,-33.798397064208984,5260.0
td3_train_ep_return,-111.76869201660156,5552.0
td3_train_ep_return,-104.15675354003906,5713.0
td3_train_ep_return,-115.9032211303711,6043.0
td3_train_ep_return,-102.6919937133789,6177.0
td3_train_ep_return,-113.43988800048828,6507.0
td3_train_ep_return,-109.98258209228516,6999.0
td3_train_ep_return,-107.67279052734375,7217.0
td3_train_ep_return,-105.45369720458984,7398.0
td3_train_ep_return,-101.65866088867188,7506.0
td3_train_ep_return,-119.21451568603516,7924.0
td3_train_ep_return,-106.69123840332031,8124.0
td3_train_ep_return,-113.64977264404297,8465.0
td3_train_ep_return,-108.89055633544922,8701.0
td3_train_ep_return,-26.956621170043945,9189.0
td3_train_ep_return,-117.2517318725586,9580.0
td3_train_ep_return,-117.09146881103516,9937.0
td3_train_ep_return,-17.014997482299805,10001.0
td3_train_ep_return,-61.18387985229492,10546.0
td3_train_ep_return,-103.24658966064453,10654.0
td3_train_ep_return,-108.99640655517578,10832.0
td3_train_ep_return,-77.61427307128906,11224.0
td3_train_ep_return,-113.0059585571289,11507.0
td3_train_ep_return,-32.09130859375,11873.0
td3_train_ep_return,-110.97793579101562,12078.0
td3_train_ep_return,-29.552963256835938,12449.0
td3_train_ep_return,-73.06887817382812,12915.0
td3_train_ep_return,-96.60010528564453,13345.0
td3_train_ep_return,-51.035064697265625,13661.0
td3_train_ep_return,-104.12183380126953,13788.0
td3_train_ep_return,-103.12799072265625,13905.0
td3_train_ep_return,-26.77016830444336,14319.0
td3_train_ep_return,-34.087589263916016,14847.0
td3_train_ep_return,-102.9759521484375,14971.0
td3_train_ep_return,-2.7251369953155518,15001.0
td3_train_ep_return,-20.84173011779785,15338.0
td3_train_ep_return,-61.326934814453125,15694.0
td3_train_ep_return,-105.017333984375,15878.0
td3_train_ep_return,-104.7142333984375,16046.0
td3_train_ep_return,-70.10459899902344,16264.0
td3_train_ep_return,-128.90516662597656,16588.0
td3_train_ep_return,-106.17987060546875,16775.0
td3_train_ep_return,-103.75667572021484,16909.0
td3_train_ep_return,-12.312982559204102,17131.0
td3_train_ep_return,-113.57676696777344,17395.0
td3_train_ep_return,-105.8685073852539,17729.0
td3_train_ep_return,-18.799850463867188,18096.0
td3_train_ep_return,-20.52107810974121,18404.0
td3_train_ep_return,-24.46738624572754,18766.0
td3_train_ep_return,-104.43378448486328,18940.0
td3_train_ep_return,-102.13321685791016,19060.0
td3_train_ep_return,-27.33004379272461,19453.0
td3_train_ep_return,-96.29257202148438,19838.0
td3_train_ep_return,-14.280075073242188,20001.0
