metric,value,step
td3_train_ep_return,-89.79995727539062,408.0
td3_train_ep_return,-25.09622573852539,579.0
td3_train_ep_return,-102.62803649902344,699.0
td3_train_ep_return,-121.79959106445312,943.0
td3_train_ep_return,-123.82039642333984,1213.0
td3_train_ep_return,-141.07916259765625,1623.0
td3_train_ep_return,-66.0656967163086,2197.0
td3_train_ep_return,-89.09595489501953,2521.0
td3_train_ep_return,-39.09473419189453,2804.0
td3_train_ep_return,-117.5450668334961,3125.0
td3_train_ep_return,-107.6684341430664,3318.0
td3_train_ep_return,-35.26113510131836,3681.0
td3_train_ep_return,-103.66729736328125,3836.0
td3_train_ep_return,-100.95272827148438,4109.0
td3_train_ep_return,-18.011024475097656,4367.0
td3_train_ep_return,-104.19618225097656,4535.0
td3_train_ep_return,-85.01921081542969,4999.0
td3_train_ep_return,-1.149999976158142,5001.0
td3_train_ep_return,-103.2325439453125,5142.0
td3_train_ep_return,-108.29299926757812,5380.0
td3_train_ep_return,-25.10810661315918,5676.0
td3_train_ep_return,-106.306884765625,5878.0
td3_train_ep_return,-103.99717712402344,6030.0
td3_train_ep_return,-101.93067932128906,6150.0
td3_train_ep_return,-104.76408386230469,6573.0
td3_train_ep_return,-102.75029754638672,6711.0
td3_train_ep_return,-101.8801498413086,6830.0
td3_train_ep_return,-102.36409759521484,6952.0
td3_train_ep_return,-103.56795501708984,7100.0
td3_train_ep_return,-102.32643127441406,7219.0
td3_train_ep_return,-113.74549865722656,7533.0
td3_train_ep_return,-102.41069793701172,7655.0
td3_train_ep_return,-106.49369812011719,7848.0
td3_train_ep_return,-105.45659637451172,8032.0
td3_train_ep_return,-37.19303894042969,8482.0
td3_train_ep_return,-38.824066162109375,8970.0
td3_train_ep_return,-117.6263198852539,9351.0
td3_train_ep_return,-111.39850616455078,9627.0
td3_train_ep_return,-107.924072265625,9869.0
td3_train_ep_return,-82.95426940917969,10001.0
td3_train_ep_return,-102.24002075195312,10124.0
td3_train_ep_return,-101.8337631225586,10234.0
td3_train_ep_return,-103.50572204589844,10371.0
td3_train_ep_return,-105.34394836425781,10548.0
td3_train_ep_return,-112.55982208251953,10865.0
td3_train_ep_return,-103.69522857666016,11011.0
td3_train_ep_return,-67.34236907958984,11382.0
td3_train_ep_return,-119.95832824707031,11817.0
td3_train_ep_return,-47.48130798339844,12247.0
td3_train_ep_return,-108.63087463378906,12477.0
td3_train_ep_return,-101.79228210449219,12587.0
td3_train_ep_return,-102.0213394165039,12704.0
td3_train_ep_return,-24.170682907104492,13118.0
td3_train_ep_return,-39.366859436035156,13646.0
td3_train_ep_return,-101.56130981445312,13759.0
td3_train_ep_return,-59.690185546875,14006.0
td3_train_ep_return,-74.99493408203125,14203.0
td3_train_ep_return,-41.92613983154297,14760.0
td3_train_ep_return,-102.0826187133789,14878.0
td3_train_ep_return,-7.402988910675049,15001.0
td3_train_ep_return,-104.4151840209961,15166.0
td3_train_ep_return,-101.86175537109375,15275.0
td3_train_ep_return,-104.77659606933594,15440.0
td3_train_ep_return,-105.4315414428711,15768.0
td3_train_ep_return,-12.378145217895508,15990.0
td3_train_ep_return,-104.47016906738281,16135.0
td3_train_ep_return,-107.58204650878906,16359.0
td3_train_ep_return,-64.4120101928711,16726.0
td3_train_ep_return,-16.156373977661133,17034.0
td3_train_ep_return,-105.9552001953125,17223.0
td3_train_ep_return,-106.01249694824219,17417.0
td3_train_ep_return,-103.2331771850586,17554.0
td3_train_ep_return,-73.85603332519531,17947.0
td3_train_ep_return,-112.2658920288086,18258.0
td3_train_ep_return,-50.85200881958008,18690.0
